query_image_path,utm_east,utm_north,reference_1_path,reference_1_distance,reference_1_utm_east,reference_1_utm_north,reference_2_path,reference_2_distance,reference_2_utm_east,reference_2_utm_north,reference_3_path,reference_3_distance,reference_3_utm_east,reference_3_utm_north
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543684.40@4176706.24@10@S@37.736565@-122.504261@21235149283@@@@@@20151001@@.jpg,543684.4,4176706.24,C:\Users\danba\Documents\VPR_datasets\debug\@0545156.27@4178409.84@10@S@037.75188@-122.48740@S-DhwmruWgz1L-yJZYtR7A@@0@@@@201711@@.jpg,0.7092494964599609,545156.27,4178409.84,C:\Users\danba\Documents\VPR_datasets\debug\@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.7144516110420227,543256.96,4178906.7,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.716581255197525,545104.55,4178200.97
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543686.41@4176676.07@10@S@37.736272@-122.504242@4706727110@@@@@@20100616@@.jpg,543686.41,4176676.07,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543687.03@4176692.38@10@S@37.736455@-122.504255@51132005873@@@@@@20210312@@.jpg,543687.03,4176692.38,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543688.30@4176685.51@10@S@37.736419@-122.504278@51987587815@@@@@@20220406@@.jpg,543688.3,4176685.51,C:\Users\danba\Documents\VPR_datasets\debug\@0545156.27@4178409.84@10@S@037.75188@-122.48740@S-DhwmruWgz1L-yJZYtR7A@@0@@@@201711@@.jpg,0.7024142146110535,545156.27,4178409.84,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.7080888152122498,545104.55,4178200.97,C:\Users\danba\Documents\VPR_datasets\debug\@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.7186066806316376,543256.96,4178906.7
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543689.54@4176634.15@10@S@37.736419@-122.504278@6298957237@@@@@@20111031@@.jpg,543689.54,4176634.15,C:\Users\danba\Documents\VPR_datasets\debug\@0545156.27@4178409.84@10@S@037.75188@-122.48740@S-DhwmruWgz1L-yJZYtR7A@@0@@@@201711@@.jpg,0.7854103296995163,545156.27,4178409.84,C:\Users\danba\Documents\VPR_datasets\debug\@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.7875496447086334,543256.96,4178906.7,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.8006053417921066,545104.55,4178200.97
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543691.16@4176678.98@10@S@37.736272@-122.504242@24385852095@@@@@@20160115@@.jpg,543691.16,4176678.98,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543801.25@4176605.56@10@S@37.735578@-122.502956@7028714071@@@@@@20120330@@.jpg,543801.25,4176605.56,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0544035.59@4182102.36@10@S@37.785249@-122.499852@30330540510@@@@@@20161029@@.jpg,544035.59,4182102.36,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0544035.59@4182102.36@10@S@37.785249@-122.499852@30427659142@@@@@@20161024@@.jpg,544035.59,4182102.36,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0544036.53@4182091.71@10@S@37.785141@-122.499898@30221092154@@@@@@20161108@@.jpg,544036.53,4182091.71,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0544043.28@4182113.61@10@S@37.785157@-122.500535@38558418810@@@@@@20180219@@.jpg,544043.28,4182113.61,C:\Users\danba\Documents\VPR_datasets\debug\@0545156.27@4178409.84@10@S@037.75188@-122.48740@S-DhwmruWgz1L-yJZYtR7A@@0@@@@201711@@.jpg,0.8665588349103928,545156.27,4178409.84,C:\Users\danba\Documents\VPR_datasets\debug\@0544850.40@4178603.45@10@S@037.75364@-122.49086@lL5f5aUJAZ9KgGJd89jqkQ@@0@@@@201606@@.jpg,0.8797864764928818,544850.4,4178603.45,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.8901416659355164,545104.55,4178200.97
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0544585.93@4176422.92@10@S@37.733967@-122.493989@49519879692@@@@@@20200211@@.jpg,544585.93,4176422.92,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.7606886029243469,545104.55,4178200.97,C:\Users\danba\Documents\VPR_datasets\debug\@0545156.27@4178409.84@10@S@037.75188@-122.48740@S-DhwmruWgz1L-yJZYtR7A@@0@@@@201711@@.jpg,0.780304491519928,545156.27,4178409.84,C:\Users\danba\Documents\VPR_datasets\debug\@0544802.75@4178456.73@10@S@037.75232@-122.49141@COgBEwO71m7yQorw9K9uxA@@0@@@@201311@@.jpg,0.7896933853626251,544802.75,4178456.73
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0544596.47@4177341.88@10@S@37.742374@-122.493912@12316092083@@@@@@20140205@@.jpg,544596.47,4177341.88,C:\Users\danba\Documents\VPR_datasets\debug\@0544850.40@4178603.45@10@S@037.75364@-122.49086@lL5f5aUJAZ9KgGJd89jqkQ@@0@@@@201606@@.jpg,0.7486543357372284,544850.4,4178603.45,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.7656096369028091,545104.55,4178200.97,C:\Users\danba\Documents\VPR_datasets\debug\@0544802.75@4178456.73@10@S@037.75232@-122.49141@COgBEwO71m7yQorw9K9uxA@@0@@@@201311@@.jpg,0.7769884765148163,544802.75,4178456.73
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0544628.47@4176182.72@10@S@37.731922@-122.493668@43580924374@@@@@@20180827@@.jpg,544628.47,4176182.72,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0544688.80@4177554.85@10@S@37.744212@-122.492547@31750133442@@@@@@20161226@@.jpg,544688.8,4177554.85,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.7190186679363251,545104.55,4178200.97,C:\Users\danba\Documents\VPR_datasets\debug\@0545156.27@4178409.84@10@S@037.75188@-122.48740@S-DhwmruWgz1L-yJZYtR7A@@0@@@@201711@@.jpg,0.7322601079940796,545156.27,4178409.84,C:\Users\danba\Documents\VPR_datasets\debug\@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.7394964694976807,543256.96,4178906.7
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0544758.83@4177507.74@10@S@37.743917@-122.491882@31781279861@@@@@@20161226@@.jpg,544758.83,4177507.74,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0544774.98@4177373.80@10@S@37.742736@-122.491801@31513228780@@@@@@20161226@@.jpg,544774.98,4177373.8,C:\Users\danba\Documents\VPR_datasets\debug\@0545156.27@4178409.84@10@S@037.75188@-122.48740@S-DhwmruWgz1L-yJZYtR7A@@0@@@@201711@@.jpg,0.7598738968372345,545156.27,4178409.84,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.7811182588338852,545104.55,4178200.97,C:\Users\danba\Documents\VPR_datasets\debug\@0544802.75@4178456.73@10@S@037.75232@-122.49141@COgBEwO71m7yQorw9K9uxA@@0@@@@201311@@.jpg,0.7897255718708038,544802.75,4178456.73
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0544834.28@4177355.93@10@S@37.742397@-122.491096@24318149668@@@@@@20181203@@.jpg,544834.28,4177355.93,C:\Users\danba\Documents\VPR_datasets\debug\@0544850.40@4178603.45@10@S@037.75364@-122.49086@lL5f5aUJAZ9KgGJd89jqkQ@@0@@@@201606@@.jpg,0.7363966703414917,544850.4,4178603.45,C:\Users\danba\Documents\VPR_datasets\debug\@0544807.25@4178600.99@10@S@037.75362@-122.49135@tDpfu-mCCy4XG59b1ecbtQ@@0@@@@201804@@.jpg,0.7819725275039673,544807.25,4178600.99,C:\Users\danba\Documents\VPR_datasets\debug\@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.7916656285524368,543256.96,4178906.7
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0544854.44@4177374.68@10@S@37.742585@-122.490752@166362371@@@@@@20060613@@.jpg,544854.44,4177374.68,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0544854.44@4177374.68@10@S@37.742585@-122.490752@166362461@@@@@@20060613@@.jpg,544854.44,4177374.68,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.6868092715740204,545104.55,4178200.97,C:\Users\danba\Documents\VPR_datasets\debug\@0545156.27@4178409.84@10@S@037.75188@-122.48740@S-DhwmruWgz1L-yJZYtR7A@@0@@@@201711@@.jpg,0.698370486497879,545156.27,4178409.84,C:\Users\danba\Documents\VPR_datasets\debug\@0544802.75@4178456.73@10@S@037.75232@-122.49141@COgBEwO71m7yQorw9K9uxA@@0@@@@201311@@.jpg,0.7213797569274902,544802.75,4178456.73
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0544854.44@4177374.68@10@S@37.742841@-122.490767@174215764@@@@@@20060625@@.jpg,544854.44,4177374.68,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0544904.56@4176066.50@10@S@37.730962@-122.490538@6622836287@@@@@@20120102@@.jpg,544904.56,4176066.5,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545052.75@4182034.30@10@S@37.7846@-122.488299@50631243998@@@@@@20201122@@.jpg,545052.75,4182034.3,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545053.59@4176450.65@10@S@37.734236@-122.488665@51802771630@@@@@@20220105@@.jpg,545053.59,4176450.65,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545147.95@4177371.18@10@S@37.742502@-122.487482@6230765430@@@@@@20111010@@.jpg,545147.95,4177371.18,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545147.95@4177371.18@10@S@37.742502@-122.487482@6285635241@@@@@@20111027@@.jpg,545147.95,4177371.18,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.6989265084266663,545104.55,4178200.97,C:\Users\danba\Documents\VPR_datasets\debug\@0544802.75@4178456.73@10@S@037.75232@-122.49141@COgBEwO71m7yQorw9K9uxA@@0@@@@201311@@.jpg,0.7359439730644226,544802.75,4178456.73,C:\Users\danba\Documents\VPR_datasets\debug\@0545156.27@4178409.84@10@S@037.75188@-122.48740@S-DhwmruWgz1L-yJZYtR7A@@0@@@@201711@@.jpg,0.7386516332626343,545156.27,4178409.84
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545158.34@4181518.73@10@S@37.779974@-122.486719@32955836704@@@@@@20170402@@.jpg,545158.34,4181518.73,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545172.10@4177352.67@10@S@37.742556@-122.487486@6008583462@@@@@@20110804@@.jpg,545172.1,4177352.67,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545224.40@4181532.30@10@S@37.779987@-122.48643@33669405831@@@@@@20170402@@.jpg,545224.4,4181532.3,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545267.59@4176938.79@10@S@37.738889@-122.486227@7648312554@@@@@@20120726@@.jpg,545267.59,4176938.79,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545267.59@4176938.79@10@S@37.738889@-122.486227@7648315550@@@@@@20120726@@.jpg,545267.59,4176938.79,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545514.45@4177853.17@10@S@37.74686@-122.483522@5357534829@@@@@@20110115@@.jpg,545514.45,4177853.17,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545514.45@4177854.61@10@S@37.746774@-122.483517@5358154288@@@@@@20110115@@.jpg,545514.45,4177854.61,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545514.92@4177849.40@10@S@37.746774@-122.483517@4391029018@@@@@@20100226@@.jpg,545514.92,4177849.4,C:\Users\danba\Documents\VPR_datasets\debug\@0545156.27@4178409.84@10@S@037.75188@-122.48740@S-DhwmruWgz1L-yJZYtR7A@@0@@@@201711@@.jpg,0.7691979110240936,545156.27,4178409.84,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.7927235066890717,545104.55,4178200.97,C:\Users\danba\Documents\VPR_datasets\debug\@0544807.25@4178600.99@10@S@037.75362@-122.49135@tDpfu-mCCy4XG59b1ecbtQ@@0@@@@201804@@.jpg,0.7986399382352829,544807.25,4178600.99
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545519.45@4177794.83@10@S@37.746302@-122.483479@8728278991@@@@@@20130511@@.jpg,545519.45,4177794.83,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545560.80@4174724.48@10@S@37.7186@-122.48314@51308531077@@@@@@20210713@@.jpg,545560.8,4174724.48,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.7789916694164276,545104.55,4178200.97,C:\Users\danba\Documents\VPR_datasets\debug\@0545156.27@4178409.84@10@S@037.75188@-122.48740@S-DhwmruWgz1L-yJZYtR7A@@0@@@@201711@@.jpg,0.7928076386451721,545156.27,4178409.84,C:\Users\danba\Documents\VPR_datasets\debug\@0544802.75@4178456.73@10@S@037.75232@-122.49141@COgBEwO71m7yQorw9K9uxA@@0@@@@201311@@.jpg,0.8027508556842804,544802.75,4178456.73
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545574.83@4181543.66@10@S@37.78017@-122.482417@40006327965@@@@@@20180319@@.jpg,545574.83,4181543.66,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545602.99@4178651.18@10@S@37.753979@-122.482279@52028397449@@@@@@20220423@@.jpg,545602.99,4178651.18,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545642.75@4177388.99@10@S@37.742804@-122.481982@38114821716@@@@@@20171105@@.jpg,545642.75,4177388.99,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545718.94@4174943.59@10@S@37.720636@-122.481274@51311970636@@@@@@20210714@@.jpg,545718.94,4174943.59,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545740.01@4174608.75@10@S@37.717532@-122.481044@16439129602@@@@@@20150204@@.jpg,545740.01,4174608.75,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545862.47@4181585.53@10@S@37.780489@-122.47921@19219027323@@@@@@20150909@@.jpg,545862.47,4181585.53,C:\Users\danba\Documents\VPR_datasets\debug\@0544850.40@4178603.45@10@S@037.75364@-122.49086@lL5f5aUJAZ9KgGJd89jqkQ@@0@@@@201606@@.jpg,0.7781068384647369,544850.4,4178603.45,C:\Users\danba\Documents\VPR_datasets\debug\@0544807.25@4178600.99@10@S@037.75362@-122.49135@tDpfu-mCCy4XG59b1ecbtQ@@0@@@@201804@@.jpg,0.826149582862854,544807.25,4178600.99,C:\Users\danba\Documents\VPR_datasets\debug\@0545156.27@4178409.84@10@S@037.75188@-122.48740@S-DhwmruWgz1L-yJZYtR7A@@0@@@@201711@@.jpg,0.8264525234699249,545156.27,4178409.84
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545894.47@4181580.27@10@S@37.780488@-122.479104@10169612015@@@@@@20131009@@.jpg,545894.47,4181580.27,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0545967.69@4178667.07@10@S@37.754145@-122.478137@52023290281@@@@@@20220423@@.jpg,545967.69,4178667.07,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0546094.25@4184651.45@10@S@37.808059@-122.476273@51805017316@@@@@@20220107@@.jpg,546094.25,4184651.45,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0546153.41@4184619.83@10@S@37.807783@-122.475959@49337696741@@@@@@20200106@@.jpg,546153.41,4184619.83,C:\Users\danba\Documents\VPR_datasets\debug\@0544850.40@4178603.45@10@S@037.75364@-122.49086@lL5f5aUJAZ9KgGJd89jqkQ@@0@@@@201606@@.jpg,0.8242256939411163,544850.4,4178603.45,C:\Users\danba\Documents\VPR_datasets\debug\@0545156.27@4178409.84@10@S@037.75188@-122.48740@S-DhwmruWgz1L-yJZYtR7A@@0@@@@201711@@.jpg,0.8328303843736649,545156.27,4178409.84,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.8386808037757874,545104.55,4178200.97
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0546271.67@4177447.97@10@S@37.743158@-122.47488@37276566796@@@@@@20170926@@.jpg,546271.67,4177447.97,C:\Users\danba\Documents\VPR_datasets\debug\@0544850.40@4178603.45@10@S@037.75364@-122.49086@lL5f5aUJAZ9KgGJd89jqkQ@@0@@@@201606@@.jpg,0.7743380069732666,544850.4,4178603.45,C:\Users\danba\Documents\VPR_datasets\debug\@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.7816112041473389,543256.96,4178906.7,C:\Users\danba\Documents\VPR_datasets\debug\@0544807.25@4178600.99@10@S@037.75362@-122.49135@tDpfu-mCCy4XG59b1ecbtQ@@0@@@@201804@@.jpg,0.7869784832000732,544807.25,4178600.99
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0546273.60@4177450.75@10@S@37.743159@-122.474886@51273717119@@@@@@20210627@@.jpg,546273.6,4177450.75,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0546281.60@4177453.57@10@S@37.743277@-122.474674@51272990036@@@@@@20210627@@.jpg,546281.6,4177453.57,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0546295.46@4174401.81@10@S@37.715799@-122.474539@14884937293@@@@@@20140809@@.jpg,546295.46,4174401.81,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0546315.83@4176895.68@10@S@37.738213@-122.474285@51501360029@@@@@@20210921@@.jpg,546315.83,4176895.68,C:\Users\danba\Documents\VPR_datasets\debug\@0544802.75@4178456.73@10@S@037.75232@-122.49141@COgBEwO71m7yQorw9K9uxA@@0@@@@201311@@.jpg,0.7438691258430481,544802.75,4178456.73,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.7512986063957214,545104.55,4178200.97,C:\Users\danba\Documents\VPR_datasets\debug\@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.7568835467100143,543256.96,4178906.7
